FID,Name,gdp2015,popye2015,fix2015,gdp12015,gdp22015,gdp32015,gdp2014,fix2014,gdp22014,gdp32014,gdp12014,gdp2013,fix2013,gdp12013,gdp22013,gdp32013,popye2013,popye2012,gdp2012,fix2012,gdp12012,gdp22012,gdp32012,popye2011,fix2011,gdp2011,gdp12011,gdp22011,gdp32011,popye2014,capation,url,lon,lat
10,黄石市,12281000,267.9700012,13800200,1085600,6798800,4396700,12185600,11684600,7234500,3900800,1050300,11420300,11420300,952100,6992000,3476200,262.269989,10409500,10409500,7509500,858900,6450100,3100500,260.1400146,5974500,9259600,1050300,7234500,3900800,265.1400146,黄石是新中国成立后湖北省最早设立的两个省辖市之一，武汉城市圈副中心城市，长江中游城市群重要成员，华中地区重要的原材料工业基地，全国资源枯竭转型试点城市，也是国务院批准的沿江开放城市。,https://gss1.bdstatic.com/9vo3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=e20bef48ff36afc30e0c38638b228cf9/203fb80e7bec54e7d795b896b1389b504fc26a39.jpg,115.0670522,30.13378905
11,安庆市,14174300,622.0999756,13855788,2200000,6857800,5457200,15443200,13947500,8147300,5172000,2123900,14182443,14182400,2137813,7540530,4504100,621.7000122,13597000,13597000,9720100,1961700,7594400,4040900,620.8800049,13947517,15443200,2123900,8147300,5172000,620.8800049,安庆，安徽省地级市。位于安徽省西南部，长江下游北岸，皖河入江处，西接湖北，南邻江西，西北靠大别山主峰，东南倚黄山余脉。,https://gss2.bdstatic.com/-fo3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=5332c0679b58d109c4e3aeb4e963ab82/8b13632762d0f7031fe936c501fa513d2697c554.jpg,116.7469522,30.35748905
12,鄂州市,7300100,110.2900009,8236900,846600,4224400,2229100,6866400,6980400,4071900,1983000,811500,6309400,6309400,785100,3750800,1773500,109.7799988,5603900,5603900,4500100,692300,3364300,1547300,109.4300003,3368500,4908900,811500,4071900,1983000,110.1800003,鄂州历史悠久，帝尧时为“樊国”，夏时为“鄂都”，殷商时为“鄂国”，春秋战国时楚鄂王封地，三国时孙权在此称帝。春秋战国时期，楚王熊渠分封其子熊红到鄂州为鄂王，修筑鄂王城，这也是湖北简称“鄂”的由来,https://gss0.bdstatic.com/94o3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=47634a311e30e924cfa49b377433093b/48540923dd54564ed233b300b2de9c82d1584fb0.jpg,114.7576522,30.51458905
13,池州市,5447400,161.6100006,6005372,705700,2513300,2228400,5171700,5380390,2438000,2048100,685600,4622452,4622450,673965,2255887,1692600,161.8999939,4174500,4174500,3747383,621500,2042300,1510700,160.6399994,5380392,5171700,685600,2438000,2048100,160.6399994,池州，简称“池”，别名“秋浦”，安徽省地级市。是长江南岸重要的滨江港口城市，长三角城市群成员城市、全国双拥模范城市、国家森林城市，是中国佛教四大名山之一的九华山所在地。,https://gss1.bdstatic.com/-vo3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=1e7e8490a11ea8d38a227302af315773/42166d224f4a20a46ba70fec97529822720ed05b.jpg,117.2989522,30.51458905
14,黄冈市,15892400,744.4199829,20272500,3796200,6184200,5912000,14771500,17173900,5861000,5159300,3751200,13325500,13325500,3567900,5212800,4544800,750.1500244,11928800,11928800,11029400,3327800,4648700,3952300,746.2600098,8237100,10451100,3796200,6184200,5912000,741.4299927,黄冈历史文化源远流长，有2000多年的建置历史，孕育了中国佛教禅宗四祖道信、五祖弘忍、六祖慧能，宋代活字印刷术发明人毕升，明代医圣李时珍，现代地质科学巨人李四光，爱国诗人学者闻一多，国学大师黄侃，哲学家熊十力，文学评论家胡风等等一大批科学文化巨匠。,https://gss0.bdstatic.com/94o3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=b22ef9bcdd3f8794d3ff4f28ea2069c9/023b5bb5c9ea15ce16b8fa0dbf003af33a87b25b.jpg,114.9575522,30.57638905
15,武汉市,109056000,829.2700195,77252600,3598100,49815400,55642500,100694800,70028496,3894900,6140600,146600,90512704,90512704,341900,5366100,4766500,822.039978,80038200,80038200,50312500,3012100,38595600,38430500,827.2399902,42632400,67622000,1987000,25495040,6140600,827.3099976,武汉地处江汉平原东部、长江中游。世界第三大河长江及其最大支流汉江横贯市境中央，将武汉中心城区一分为三，形成武汉三镇隔江鼎立的格局，市内江河纵横、湖港交织，水域面积占全市总面积四分之一，构成滨江滨湖的水域生态环境。,https://gss0.bdstatic.com/-4o3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=1467f1b55c3d26972ed30f5b6dc0d5c6/241f95cad1c8a7867d9c86716a09c93d70cf501f.jpg,114.2160522,30.57918905
16,宜昌市,33848000,398.1799927,30853500,3614000,19864100,10370300,31322100,25704100,18575600,9230900,3515600,28180700,28180700,3359500,16937700,7883500,400.0700073,25088900,25088900,16209800,3052000,15130800,6906100,398.8399963,11899200,21407000,3515600,18575600,9230900,400.3999939,宜昌依长江而建，是国家中部地区区域性中心城市，?湖北省省域副中心城市，长江中游城市群重要成员??，拥有汉宜高速公路、汉宜高速铁路、焦柳铁路、318国道等交通动脉。宜昌是三峡大坝、葛洲坝等国家重要战略设施所在地，被誉为“世界水电之都”。,https://gss0.bdstatic.com/-4o3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=490c2a1f4f166d22387712927e186eca/6609c93d70cf3bc783ca6038dd00baa1cc112a1f.jpg,111.3169522,30.79528905
17,铜陵市,9116000,73.80000305,10629256,472400,5629300,3014300,7163100,7675970,5104600,1932700,125800,6805925,6805930,125722,4933803,1746400,74.19999695,6213000,6213000,5343037,117800,4562800,1532400,73.77999878,7675973,7163100,125800,5104600,1932700,73.77999878,铜陵因铜得名、以铜而兴，素有“中国古铜都，当代铜基地”之称。采冶铜的历史始于商周，盛于汉唐，延绵3500余年。新中国第一炉铜水、第一块铜锭出自铜陵。第一个铜工业基地建于铜陵，第一支铜业股票发自铜陵。,https://gss2.bdstatic.com/9fo3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=e3531cb7ba51f819f125044ce28f2dd0/ae51f3deb48f8c544eaf5fb330292df5e0fe7f2a.jpg,117.8747522,30.98568905
18,芜湖市,24573200,384.7900085,27091936,1200200,14054300,9318700,23095500,23926400,14760100,7155000,1180400,20995270,20995300,1286025,13882246,5827000,384.5400085,18736300,18736300,17007936,1176300,12342400,5217600,385.3599854,23926406,23095500,1180400,14760100,7155000,384.5100098,芜湖自古享有“江东名邑”、“吴楚名区”之美誉。芜湖明代中后期是著名的浆染业中心，近代为“江南四大米市”之首。芜湖港是长江水运第五大港、安徽省最大的货运、外贸、集装箱中转港，国家一类口岸。芜湖地处皖南国际旅游文化示范区，旅游资源丰富,https://gss2.bdstatic.com/9fo3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=7bb17f82cb5c1038247ec9c48a2af42e/0eb30f2442a7d9335a749beba04bd11372f0014d.jpg,118.1736522,31.13958905
19,上海市,249650000,1442.969971,63527000,1098000,79407000,169144992,235608992,60129700,81648000,152719008,1243000,216021200,216020992,1292800,80277696,134450704,2415,201817200,201817200,51176000,1278000,78547696,121991504,1419.400024,50642624,191956896,1249400,79278896,111428600,1438.699951,上海市，简称“沪”，是中华人民共和国省级行政区。上海是中国共产党诞生地、国家历史文化名城，中国经济、金融、贸易、航运、科技创新中心。,https://gss0.bdstatic.com/-4o3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=f2dbbddf5943fbf2c52ca1258845adbd/43a7d933c895d14399cc7cf479f082025baf07aa.jpg,121.4490522,31.25328905
20,合肥市,37669600,717.7199707,39845300,2634300,29772800,24195700,34070600,35311500,28620300,20661800,2523500,30777000,30777000,2472120,25837468,18419500,711.5,27545800,27545800,27149300,2290500,23039000,16313700,712.8099976,35311500,34070600,2523500,28620300,20661800,712.8099976,合肥，简称庐或合，古称庐州、庐阳、合淝?，是安徽省省会，长三角城市群副中心?[2]??，综合性国家科学中心，“一带一路”和长江经济带战略双节点城市?[3]??，具有国际影响力的创新之都,https://gss3.bdstatic.com/7Po3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=6338b722fc1f3a295ac8d2c8a11edb0c/e824b899a9014c08816a3e59067b02087af4f4fd.jpg,117.4084522,31.43298905
21,马鞍山市,13653000,228.5,18598354,794600,7736200,5122200,13331200,16747400,8311200,4249600,770400,12930173,12930200,796231,8341442.5,3792500,228.3999939,12339400,12339400,12011508,734600,8188600,3416200,227.7299957,16747414,13331200,770400,8311200,4249600,227.7299957,马鞍山，简称“马”，是安徽省地级市，位于安徽东部、苏皖交汇地区，是合肥都市圈、南京都市圈核心层城市、长三角城市群成员城市、长江经济带沿线城市、皖江城市带承接产业转移示范区门户城市,https://gss3.bdstatic.com/7Po3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=66edcb878b025aafd33279cdc3d6cc59/4a36acaf2edda3cccb27356708e93901203f92b2.jpg,118.5377522,31.53938905
22,南京市,97207696,653.4000244,54259800,3711010,39161100,55722700,88207504,54307700,36234800,49830200,2142500,28455976,28456000,3367878,11082707,14005391,724.4299927,25031812,25031812,45584900,3229563,9607494,12194755,636.4000244,37572516,22114358,3055458,26946400,32209100,648.7000122,南京地处中国东部、长江下游、濒江近海，是中国东部战区司令部驻地??，长江国际航运物流中心???，长三角辐射带动中西部地区发展的国家重要门户城市，也是东部沿海经济带与长江经济带战略交汇的重要节点城市。,https://gss0.bdstatic.com/-4o3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=0526cd992f3fb80e0cd166d10eea4813/b8014a90f603738dadb8cd8abd1bb051f919ecac.jpg,118.8050522,32.08498905
23,镇江市,35024800,271.6700134,25410700,1328900,17269600,16426300,32524400,21423400,16311000,14998900,1214500,29272800,29272800,1290000,15494000,12488800,271.7999878,26304200,26304200,15006700,1157700,14195400,10951100,271.8999939,12269399,32524400,1214500,16311000,14998900,272.1000061,镇江，江苏省地级市，是长江三角洲重要的港口、风景旅游城市???，位于江苏南部、长江下游南岸、长江三角洲西段，古称“润州”，民国时曾为江苏省省会。,https://gss3.bdstatic.com/7Po3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=aa42fd4b9958d109c4e3aeb4e963ab82/8b13632762d0f703e6990be903fa513d2697c5d8.jpg,119.4228522,32.14078905
24,南通市,61484000,766.7700195,43760300,3549000,29775300,28159700,56526900,38963900,28123400,25007800,3395700,50388900,50388900,3454100,26235000,20699800,766.5,45586700,45586700,28864700,3190900,24141100,18254700,764.9000244,23783560,56526900,3395700,28123400,25007800,767.5999756,南通，江苏省地级市，位于江苏东南部，长江三角洲北翼?，简称“通”，别称静海、崇州、崇川、紫琅，古称通州。南通是上海大都市圈北翼门户城市、中国首批对外开放的14个沿海城市之一、长三角北翼经济中心??、现代化港口城市??和国家历史文化名城,https://gss3.bdstatic.com/7Po3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=45068784dfca7bcb7d7bc02986320c5e/4610b912c8fcc3cef4f577749a45d688d43f20bb.jpg,120.6292522,32.19788905
25,泰州市,36879000,507.8500061,26937500,2189300,18110400,16579300,33708900,21973400,16974500,14641900,2092500,30069100,30069100,2059000,15740600,12269500,507.7999878,27016700,27016700,14545900,1917500,14345300,10753900,507.1000061,11976511,33708900,2092500,16974500,14641900,508.5,泰州是承南启北的水陆要津，为苏中门户，自古有“水陆要津，咽喉据郡”之称。700多年前，马可·波罗游历泰州，称赞“这城不很大，但各种尘世的幸福极多”。,https://gss1.bdstatic.com/9vo3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=fb20cf2d7e8b4710ce2ffacafbf5a4c0/1b4c510fd9f9d72a21d82711d82a2834349bbb79.jpg,119.9832522,32.33708905
26,扬州市,40168400,461.1199951,28568200,2418600,20121000,17628800,36979100,24166600,18857500,15848000,2273600,32520100,32520100,2244500,16937000,13338600,459.7999878,29332000,29332000,17836500,2051900,15544600,11735500,460.1000061,14754285,36979100,2273600,18857500,15848000,461.2999878,扬州，古称广陵、江都、维扬，建城史可上溯至公元前486年?，首批国家历史文化名城，中国大运河扬州段入选世界遗产名录；扬州列入中国海上丝绸之路申报世界遗产城市之一。,https://gss3.bdstatic.com/7Po3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=542141f49045d688a302b5a29cf91a23/2934349b033b5bb55e36a83934d3d539b700bc10.jpg,119.3836522,32.35848905
